timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-11-06,624.78369152,649.36656572,592.93111779,592.93111779,624.78369152,649.36656572,592.93111779,592.93111779,134862.86825567,79964391.22342114
2017-11-05,612.84482667,636.65241954,573.97972559,623.45314597,612.84482667,636.65241954,573.97972559,623.45314597,122046.22206499,76090101.10020526
2017-11-04,671.32982839,673.09726439,578.80565436,613.52766689,671.32982839,673.09726439,578.80565436,613.52766689,185037.36442212,113525542.48117140
2017-11-03,573.53748851,681.75774659,562.17893773,634.36343203,573.53748851,681.75774659,562.17893773,634.36343203,277758.48834331,176199827.94096091
2017-11-02,531.67682595,592.16488177,496.57907821,568.52475823,531.67682595,592.16488177,496.57907821,568.52475823,254150.53405560,144490870.92821968
2017-11-01,437.63361225,545.93658818,435.60060727,530.18315278,437.63361225,545.93658818,435.60060727,530.18315278,193779.47842180,102738614.81320788
2017-10-31,444.24421456,454.23236451,427.91046489,436.67804727,444.24421456,454.23236451,427.91046489,436.67804727,67429.84578373,29445133.38453730
2017-10-30,452.67585491,479.77442766,417.77591233,446.03719924,452.67585491,479.77442766,417.77591233,446.03719924,149247.15364702,66569782.40778255
2017-10-29,415.88018863,515.39639139,401.44437531,443.62917402,415.88018863,515.39639139,401.44437531,443.62917402,358544.31751723,159060719.43115085
2017-10-28,364.38328284,419.54164457,364.38328284,417.58708147,364.38328284,419.54164457,364.38328284,417.58708147,136823.49661992,57135724.63046178
2017-10-27,336.01000093,371.49816994,336.01000093,364.39046350,336.01000093,371.49816994,336.01000093,364.39046350,100165.11781075,36499213.70585315
2017-10-26,328.43467533,349.55463490,327.42322082,335.31468472,328.43467533,349.55463490,327.42322082,335.31468472,58278.73090418,19541714.27919521
