timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-02-02,0.99738134,0.99934416,0.98838091,0.99930043,0.99738134,0.99934416,0.98838091,0.99930043,116591255.79860663,116509691.94943878
2018-02-01,0.99893086,0.99961920,0.99542842,0.99732542,0.99893086,0.99961920,0.99542842,0.99732542,92609186.84756505,92361496.18058822
2018-01-31,0.99837130,0.99937514,0.99837130,0.99893507,0.99837130,0.99937514,0.99837130,0.99893507,75983182.76565242,75902266.30823678
2018-01-30,0.99934232,1.00164459,0.99576814,0.99861514,0.99934232,1.00164459,0.99576814,0.99861514,158942481.75551537,158722368.99770039
2018-01-29,0.99904377,1.00008536,0.99879773,0.99935323,0.99904377,1.00008536,0.99879773,0.99935323,76054949.19503780,76005758.78765412
2018-01-28,0.99962926,0.99991164,0.99777819,0.99902667,0.99962926,0.99991164,0.99777819,0.99902667,98631264.66613153,98535264.32765408
2018-01-27,1.00034538,1.00083126,0.99963798,0.99966415,1.00034538,1.00083126,0.99963798,0.99966415,41933456.19587138,41919372.86120032
2018-01-26,1.00057158,1.00081279,1.00013296,1.00034553,1.00057158,1.00081279,1.00013296,1.00034553,66386127.92708917,66409066.34676155
2018-01-25,1.00057970,1.00083357,0.99991927,1.00066210,1.00057970,1.00083357,0.99991927,1.00066210,45051097.65228291,45080926.13095110
2018-01-24,1.00045060,1.00085553,1.00039887,1.00054522,1.00045060,1.00085553,1.00039887,1.00054522,68471773.94752102,68509106.32994170
2018-01-23,1.00108163,1.00140545,1.00029210,1.00044144,1.00108163,1.00140545,1.00029210,1.00044144,100139505.08663982,100183710.29649588
2018-01-22,1.00042918,1.01612457,1.00037361,1.00091064,1.00042918,1.01612457,1.00037361,1.00091064,58516500.05285522,58569787.35707558
2018-01-21,1.00118162,1.00118568,1.00037905,1.00042835,1.00118162,1.00118568,1.00037905,1.00042835,105269456.61184488,105314548.30659884
2018-01-20,1.00147126,1.00152749,1.00045747,1.00108726,1.00147126,1.00152749,1.00045747,1.00108726,58910830.40856633,58974882.01464853
2018-01-19,1.00076421,1.03041583,1.00063756,1.00153573,1.00076421,1.03041583,1.00063756,1.00153573,97797774.24217065,97947965.58648805
2018-01-18,1.00146758,1.03765419,1.00055837,1.00078796,1.00146758,1.03765419,1.00055837,1.00078796,197456893.68102160,197612481.40574163
